Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"¿Qué quiere decir que la electricidad es un fenómeno natural?";"";"Que no ha sido inventada";"Que se inventó hace muchísimo tiempo";"Que no se puede generar artificialmente";"Que es ecológica";"electric_es_fundamentos"
"La electricidad y el magnetismo son dos _______ del mismo fenómeno, el electromagnetismo";"";"Manifestaciones";"Efectos";"Fuerzas";"Magnitudes";"electric_es_fundamentos"
"La palabra electricidad viene del griego elektron, qué significa...";"";"Ámbar";"electricidad";"Imán";"Relámpago";"electric_es_fundamentos"
"¿Cómo se llamaba el griego que le dio nombre a la electricidad?";"";"Tales";"Pitágoras";"Theodorakis";"Aristóteles";"electric_es_fundamentos"
"¿Cuándo se le puso nombre a la electricidad y comenzaron a estudiarse sus efectos?";"";"Alrededor del año 600 AC, con la civilización griega";"A finales del XVIII, con la revolución científica";"A finales del siglo XIX, con la lámpara eléctrica";"En el siglo XV, con la pila de Volta";"electric_es_fundamentos"
"¿Cuándo decimos que comienza el uso comercial de la electricidad?";"";"A finales del siglo XIX, con la lámpara eléctrica";"En la antigua Grecia";"Con la Revolución Científica, a finales del siglo XVIII";"A mediados del siglo XX, con la invención del transistor";"electric_es_fundamentos"
"La experimentación científica con la electricidad comenzó, aproximadamente...";"";"A finales del siglo XVIII";"A finales del siglo XIX";"A principios del siglo XX";"A finales del siglo XVII";"electric_es_fundamentos"
"¿Qué hecho histórico coincidió en el tiempo, aproximadamente, con el comienzo de la experimentación científica con la electricidad?";"";"La Revolución Francesa";"El Descubrimiento de América";"La llegada del hombre a la Luna";"La fundación del Imperio Romano";"electric_es_fundamentos"
"¿Cuál no pertenece a la época de la revolución científica?";"";"Edison";"Galvani";"Volta";"Faraday";"electric_es_fundamentos"
"¿Con qué descubrimiento decimos que comenzó el uso de la electricidad de manera comercial?";"";"La lámpara eléctrica";"La pila de Volta";"El ámbar frotado contra algún tejido";"El transistor";"electric_es_fundamentos"
"La implantación y desarrollo comercial de la electricidad comenzaron con la lámpara eléctrica...";"";"A finales del siglo XIX";"A comienzos del siglo XX";"A mediados del siglo XX";"A comienzos del siglo XIX";"electric_es_fundamentos"
"La era de la información y la comunicación también se desarrolla sobre la electricidad y el componente fundamental sobre el que se asienta es...";"";"El transistor";"La lámpara eléctrica";"El electroimán";"El relé";"electric_es_fundamentos"
"¿Cuándo está cargado un cuerpo?";"";"Cuando tiene más cargas de un signo que de otro signo";"Cuando tiene igual número de cargas positivas y negativas";"Cuando tiene más cargas positivas que negativas";"Cuando tiene más cargas negativas que positivas";"electric_es_fundamentos"
"¿Cuándo decimos que un cuerpo está cargado?";"";"Cuando tiene más electrones que protones, o al revés";"Cuando tiene todas las cargas";"Cuando tiene más cargas de signo positivo que de signo negativo";"Cuando tiene más cargas de signo negativo que de signo positivo";"electric_es_fundamentos"
"¿Cuál es la unidad de carga eléctrica?";"";"El Coulomb";"El Vatio";"El Joule";"El Amperio";"electric_es_fundamentos"
"¿A cuánto equivale un Coulomb?";"";"6,2 x 10^18 electrones";"6,2 x 10^12 electrones";"6,2 x 10^6 electrones";"6,2 x 10^3 electrones";"electric_es_fundamentos"
"¿Qué partículas del átomo están cargadas?";"";"Los electrones, negativamente, y los protones, positivamente";"Los electrones, negativamente, y los neutrones, positivamente";"Los protones, positivamente, y los neutrones, negativamente";"Los electrones, positivamente, y los protones, negativamente";"electric_es_fundamentos"
"¿Qué es una corriente eléctrica?";"";"Un flujo de electrones a través de un medio";"Un flujo de protones a través de un medio";"Un conjunto de electrones en movimiento";"Un desplazamiento de cualquier tipo de partículas eléctricas";"electric_es_fundamentos"
"¿Qué NO es una corriente eléctrica?";"";"Un conjunto de electrones almacenados en un punto determinado";"Electrones moviéndose a través de un conductor";"Electrones que van de un polo a otro de un circuito";"Un flujo eléctrico a través de un medio";"electric_es_fundamentos"
"¿Cuál es un material conductor?";"";"El aluminio";"El agua destilada";"El aire";"El plástico";"electric_es_fundamentos"
"¿Cuál es un material aislante?";"";"El agua destilada";"El cobre";"El grafito";"El agua salada";"electric_es_fundamentos"
"¿Cuál de estos es un material aislante?";"";"El vidrio";"El agua con sal";"El aluminio";"El grafito";"electric_es_fundamentos"
"¿Cuál de estos es un material aislante?";"";"El plástico";"El agua con sal";"El aluminio";"El grafito";"electric_es_fundamentos"
"Un material aislante presentará...";"";"Una resistencia muy alta";"Una resistencia muy baja";"Una conductividad muy baja";"Una corriente muy baja";"electric_es_fundamentos"
"Un material conductor presentará...";"";"Una resistencia muy baja";"Una resistencia muy alta";"Una conductividad muy baja";"Una corriente muy alta";"electric_es_fundamentos"
"Un material conductor presentará...";"";"Una resistencia muy baja";"Una resistencia muy alta";"Una oposición alta al paso de la corriente";"Una mala conductividad";"electric_es_fundamentos"
"¿Qué fenómeno decimos que es otra expresión de la electricidad?";"";"El magnetismo";"El calor";"La luz";"El movimiento";"electric_es_fundamentos"
"¿Cuál de los siguientes dispositivos eléctricos NO produce ningún movimiento?";"";"Un LED";"Un motor";"Un altavoz";"Un actuador lineal";"electric_es_fundamentos"
"Un motor eléctrico por el que pasa una corriente produce...";"";"Movimiento y calor";"Movimiento";"Calor";"Electromagnetismo";"electric_es_fundamentos"
"Los efectos de la corriente eléctrica que nombramos son:";"";"Luz, calor, movimiento y sonido";"Electromagnetismo, luz, calor y movimiento";"Electroluminiscencia, calor, movimiento y sonido";"Energía, movimiento, calor y sonido";"electric_es_fundamentos"
"Siempre que hay una corriente eléctrica, se produce...";"";"Calor";"Resistencia eléctrica";"Voltaje";"Carga eléctrica";"electric_es_fundamentos"
"¿Cuál no se corresponde con la corriente continua?";"";"Solemos manejar grandes voltajes con ella";"Siempre tiene el mismo sentido";"Es la que proporcionan las baterías y pilas";"Podemos obtenerla de adaptadores de red";"electric_es_fundamentos"
"¿Cuál NO se corresponde con la corriente alterna?";"";"Es la que nos dan las pilas y baterías";"Cambia continuamente de sentido";"Es la que viene de la red, es decir, de los enchufes";"Solemos manejar voltajes mayores que con la corriente continua";"electric_es_fundamentos"
"¿Qué aparato funciona con Corriente Alterna?";"";"Lavadora";"Ordenador";"Reloj digital";"Teléfono móvil";"electric_es_fundamentos"
"¿Cuál de estos aparatos funciona con corriente continua?";"";"Un teléfono móvil";"Un secador del pelo";"Una impresora";"Una lavadora";"electric_es_fundamentos"
"¿Cuál NO se corresponde con la corriente alterna?";"";"Solemos manejar voltajes menores que con la corriente continua";"Cambia continuamente de sentido";"La podemos obtener de la red, es decir, en los enchufes";"Podemos obtenerla a partir de corriente continua gracias a un adaptador";"electric_es_fundamentos"
"¿Cuál NO se corresponde con la corriente continua?";"";"Solemos manejar grandes voltajes con ella";"Siempre tiene el mismo sentido";"Es la que nos dan las pilas y baterías";"La podemos obtener de la red gracias a los adaptadores de corriente";"electric_es_fundamentos"
"¿Qué nos indica el Voltaje de un generador?";"";"La energía que nos puede proporcionar cada unidad de carga";"La oposición que este ejercerá frente al corriente que lo atraviesa";"Que cantidad de electrones nos dará en una unidad de tiempo";"La energía que nos proporcionará ese generador por unidad de tiempo";"electric_es_fundamentos"
"¿Qué nos indica el voltaje de una pila?";"";"La energía que nos podrá proporcionar cada unidad de carga de esa pila";"La cantidad de electrones por segundo que podrán salir de esa pila";"La potencia eléctrica que desarrollará esa pila en un circuito eléctrico";"La cantidad de electrones que hay almacenados en esa pila, es decir, su carga.";"electric_es_fundamentos"
"¿Qué frase estaría bien expresada?";"";"Por favor, mide la intensidad que pasa por ese cable";"Por favor, mide el voltaje que pasa por ese cable";"Por favor, mide la resistencia que pasa por ese cable";"Por favor, mide la potencia que pasa por ese cable";"electric_es_fundamentos"
"¿Qué es la Intensidad de una corriente?";"";"La cantidad de electrones que pasan por un punto en un tiempo determinado";"La energía de esa corriente";"La oposición que presenta un material a ser atravesado por los electrones";"La energía producida por los electrones al atravesar un componente determinado";"electric_es_fundamentos"
"Sí por un circuito pasan 5.000.000 electrones en 1 segundo, ¿qué intensidad estará pasando?";"";"Mucho menos de un amperio";"Muchísimos amperios";"Pocos amperios";"Un amperio";"electric_es_fundamentos"
"Si por un circuito pasa un amperio ¿Cuántos electrones estarán circulando por él?";"";"Trillones cada segundo";"Miles";"Millones";"Trillones";"electric_es_fundamentos"
"¿Qué es la Resistencia de un elemento?";"";"La oposición que presenta un cuerpo a ser atravesado por los electrones";"Un indicador de la facilidad con la que la corriente atraviesa un cuerpo";"La cantidad de calor que genera un componente al ser atravesado por la corriente eléctrica";"La energía eléctrica que pierde un componente en un circuito al ser atravesado por una corriente";"electric_es_fundamentos"
"¿Qué potencia eléctrica generará un componente que funcione a 3V y 2A?";"";"6W";"5W";"1,5W";"0,67W";"electric_es_fundamentos"
"¿Qué calor nos dará un circuito durante 10 segundos, si el voltaje es de 9 V y la intensidad de 2A?";"";"180J";"1,8J";"45J";"4,5J";"electric_es_fundamentos"
"Un circuito que consume una potencia de 10 W funciona durante 5 segundos. ¿Qué energía consumió en ese tiempo?";"";"50J";"2J";"10J";"0,5J";"electric_es_fundamentos"
"¿Cuál es la carga de un átomo en su estado natural?";"";"Neutra";"Positiva";"Negativa";"Depende del átomo";"electric_es_fundamentos"
"¿Cuál es la unidad elemental de Voltaje?";"";"El Voltio (V)";"El Ohmio (Ω)";"El Amperio (A)";"El Vatio (W)";"electric_es_fundamentos"
