Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"Que quere dicir que a electricidade sexa un fenómeno natural?";"";"Que non foi inventada";"Que se inventou hai moitísimo tempo";"Que non se pode xerar artificialmente";"Que é ecolóxica";"electric_gal_electricidade"
"A electricidade e o magnetismo son 2 ____________ do mesmo fenómeno, o electromagnetismo";"";"Manifestacións";"Efectos";"Forzas";"Magnitudes";"electric_gal_electricidade"
"A palabra electricidade vén do grego elektron, que significa...";"";"ámbar";"electricidade";"imán";"lóstrego";"electric_gal_electricidade"
"Como se chamaba o grego que lle deu o nome á electricidade?";"";"Tales";"Pitágoras";"Theodorakis";"Aristóteles";"electric_gal_electricidade"
"Cando comezou a falarse da electricidade e a interesarse pola súa natureza?";"";"Arredor do ano 600AC, na civilización grega";"A finais do século XVIII, coa revolución científica";"A finais do século XIX, coa lámpada eléctrica";"No século XV, coa pila de volta e os experimentos de Galvany";"electric_gal_electricidade"
"Cando dicimos que se dá comezo ao uso da electricidade de xeito comercial?";"";"A finais do século XIX, coa lámpada eléctrica";"Na época dos antiguos gregos";"Coa revolución científica, a finais do século XVIII";"A mediados do século XX, coa invención do transistor";"electric_gal_electricidade"
"A experimentación científica coa electricidade comezou, aproximadamente...";"";"A finais do século XVIII";"A finais do século XIX";"A principios do século XX";"A finais do século XVII";"electric_gal_electricidade"
"Que feito histórico coincidiu no tempo, aproximadamente, co comezo da experimentación científica coa electricidade?";"";"A Revolución Francesa";"O Descubrimento de América";"A chegada do home á Lúa";"A fundación do Imperio Romano";"electric_gal_electricidade"
"Cal non pertence á época da revolución científica?";"";"Edison";"Galvani";"Volta";"Faraday";"electric_gal_electricidade"
"Con que descubrimento dicimos que comezou o uso da electricidade de xeito comercial";"";"A lámpada eléctrica";"A pila de Volta";"O ámbar frotado contra algún tecido";"O transistor";"electric_gal_electricidade"
"A implantación e desenvolvemento comercial da electricidade comezou coa lámpada eléctrica...";"";"A finais do século XIX";"A comezos do século XX";"A mediados do século XX";"A comezos do século XIX";"electric_gal_electricidade"
"A era da información e a comunicación tamén se desenvolve sobre a electricidade, e o compoñente fundamental sobre o que se asenta é...";"";"O transistor";"A lámpada eléctrica";"O electroimán";"O relé";"electric_gal_electricidade"
"Cando está cargado un corpo?";"";"cando ten máis cargas dun signo que doutro";"cando ten igual número de cargas positivas e negativas";"cando ten máis cargas positivas que negativas";"cando ten máis cargas negativas que positivas";"electric_gal_electricidade"
"Cando dicimos que un corpo está cargado?";"";"Cando ten máis electróns que protóns, ou ao revés";"Cando ten todas as cargas";"Cando ten máis cargas de signo positivo que de signo negativo";"Cando ten máis cargas de signo negativo que de signo positivo";"electric_gal_electricidade"
"Cal é a unidade de carga eléctrica?";"";"O Coulomb";"O Vatio";"O Joule";"O Amperio";"electric_gal_electricidade"
"A canto equivale a unidade de carga?";"";"6,2 x 10e18 electróns";"6,2 x 10e12 electróns";"6,2 x 10e6 electróns";"6,2 x 10e3 electróns";"electric_gal_electricidade"
"Que partículas do átomo están cargadas?";"";"os electróns, negativamente, e os protóns, positivamente";"os electróns, negativamente, e os neutróns, positivamente";"os protóns, positivamente, e os neutróns, negativamente";"os electróns, positivamente, e os protóns, negativamente";"electric_gal_electricidade"
"Que é unha corrente eléctrica?";"";"Un fluxo de electróns a través dun medio";"Un fluxo de protóns a través dun medio";"Un conxunto de electróns en movemento";"Un desprazamento de calquera tipo de partículas eléctricas";"electric_gal_electricidade"
"Que NON é unha corrente eléctrica?";"";"Un conxunto de electróns almacenados nun punto determinado";"Electróns movéndose a través dun condutor";"Electróns que van dun polo a outro dun circuíto.";"Un fluxo eléctrico a través dun medio";"electric_gal_electricidade"
"Cal é un material condutor";"";"O aluminio";"A auga destilada";"O aire";"O plástico";"electric_gal_electricidade"
"Cal é un material illante?";"";"A auga destilada";"O cobre";"O grafito";"A auga salgada";"electric_gal_electricidade"
"Cal destes é un material illante?";"";"O vidro";"A auga con sal";"O aluminio";"O grafito";"electric_gal_electricidade"
"Cal destes é un material illante?";"";"O plástico";"A auga con sal";"O aluminio";"O grafito";"electric_gal_electricidade"
"Un material illante presentará";"";"Unha resistencia moi alta";"Unha resistencia moi baixa";"Unha conductividade moi baixa";"Unha corrente moi alta";"electric_gal_electricidade"
"Un material condutor presentará";"";"Unha resistencia moi baixa";"Unha resistencia moi alta";"Unha conductividade moi baixa";"Unha corrente moi alta";"electric_gal_electricidade"
"Un material condutor presentará..";"";"Unha resistencia moi baixa";"Unha resistencia moi alta";"Unha oposición alta ao paso da corrente";"Unha mala condutividade";"electric_gal_electricidade"
"Que fenómeno dicimos que é outra expresión da electricidade?";"";"O magnetismo";"A calor";"A luz";"O movemento";"electric_gal_electricidade"
"Cal dos seguintes dispositivos eléctricos NON produce ningún movemento?";"";"Un LED";"Un motor";"Un altofalante";"Un actuador liñal";"electric_gal_electricidade"
"Un motor eléctrico polo que pasa unha corrente produce... ";"";"Movemento e calor.";"Movemento.";"Calor.";"Electromagnetismo.";"electric_gal_electricidade"
"Os efectos da corrente eléctrica que nomeamos son:";"";"Luz, calor, movemento e son.";"Electromagnetismo, luz, calor e movemento.";"Electroluminiscencia, calor, movemento e son.";"Enerxía, movemento, calor e son";"electric_gal_electricidade"
"Sempre que hai unha corrente eléctrica, prodúcese...";"";"Calor";"Resistencia eléctrica";"Voltaxe";"Carga eléctrica";"electric_gal_electricidade"
